start_survey,Latitude,Longitude,Altitude,Accuracy,Surveyor_ID,Surveyor_ID_other,Start_sampling,Found_pellets,End_sampling,Time_to_scat,Barcode,Suspected_organism,Season/survey,Cq(IS2404),QPCR result
Tue Jan 22 00:55:32 UTC 2019,-38.37574939,144.8269251,7.558624268,7.504,1,,0:54:00,1,0:55:00,0:01:00,RES18-00369,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:57:00 UTC 2019,-38.37266701,144.7752727,14.90142155,6,3,,0:57:00,1,0:57:00,0:00:00,RES18-00297,1,Summer,NEG,IS2404_NEG
Tue Jan 22 01:00:26 UTC 2019,-38.3743401,144.7729859,42.03420151,6,3,,1:00:00,1,1:00:00,0:00:00,RES18-00298,1,Summer,NEG,IS2404_NEG
Tue Jan 22 01:00:01 UTC 2019,-38.37371331,144.8274337,-11.7829895,3.216,1,,0:59:00,1,1:00:00,0:01:00,RES18-00370,1,Summer,NEG,IS2404_NEG
Tue Jan 22 01:06:35 UTC 2019,-38.37120688,144.7785968,21.92646725,8,3,,1:07:00,1,1:07:00,0:00:00,RES18-00299,1,Summer,NEG,IS2404_NEG
Tue Jan 22 01:11:07 UTC 2019,-38.37019162,144.7807728,10.33785434,4,3,,1:11:00,1,1:12:00,0:01:00,RES18-00300,1,Summer,NEG,IS2404_NEG
Tue Jan 22 01:13:14 UTC 2019,-38.37412541,144.7959826,8.751861572,7.504,1,,1:13:00,1,1:13:00,0:00:00,RES18-00371,1,Summer,NEG,IS2404_NEG
Tue Jan 22 01:16:35 UTC 2019,-38.37080607,144.7827437,7.185765573,6,3,,1:16:00,1,1:16:00,0:00:00,RES18-00301,1,Summer,36.57,IS2404_POS
Tue Jan 22 02:43:09 UTC 2019,-38.37414953,144.7962942,-11.10000038,4,5,,2:45:00,1,2:45:00,0:00:00,RES18-00609,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:03:32 UTC 2019,-38.37524262,144.7957279,12.39999962,3,5,,3:04:00,1,3:04:00,0:00:00,RES18-00489,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:08:17 UTC 2019,-38.37508269,144.7933461,5.199999809,8,5,,4:08:00,1,5:08:00,NA,RES18-00490,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:12:41 UTC 2019,-38.37496025,144.79089,26.60000038,5,5,,4:12:00,1,4:12:00,0:00:00,RES18-00491,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:15:56 UTC 2019,-38.37448844,144.7883495,2.799999952,7,5,,3:16:00,1,3:16:00,0:00:00,RES18-00492,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:21:17 UTC 2019,-38.37621125,144.7875841,2.900000095,6,5,,3:21:00,1,3:21:00,0:00:00,RES18-00493,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:25:37 UTC 2019,-38.37644235,144.7900756,8.899999619,7,5,,3:26:00,1,3:26:00,0:00:00,RES18-00494,2,Summer,NEG,IS2404_NEG
Tue Jan 22 03:31:06 UTC 2019,-38.37713306,144.7921774,-5.5,8,5,,3:31:00,1,3:31:00,0:00:00,RES18-00495,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:34:46 UTC 2019,-38.37741133,144.7948782,18.5,7,5,,3:35:00,1,3:35:00,0:00:00,RES18-00496,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:39:36 UTC 2019,-38.37781669,144.7974367,12.60000038,4,5,,3:39:00,1,3:39:00,0:00:00,RES18-00497,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:44:25 UTC 2019,-38.37839179,144.8007625,26.60000038,7,5,,3:44:00,1,3:44:00,0:00:00,RES18-00498,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:48:27 UTC 2019,-38.37670669,144.8015213,21.20000076,7,5,,3:48:00,1,3:48:00,0:00:00,RES18-00499,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:51:56 UTC 2019,-38.37285834,144.8239669,16.99755859,7.504,1,,3:51:00,1,3:52:00,0:01:00,RES18-00372,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:53:01 UTC 2019,-38.37431053,144.8025797,26.89999962,8,5,,3:53:00,1,3:54:00,0:01:00,RES18-00500,1,Summer,33.26,IS2404_POS
Tue Jan 22 03:55:30 UTC 2019,-38.37175265,144.7802982,38.42807376,8,3,,3:55:00,1,3:56:00,0:01:00,RES18-00610,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:58:53 UTC 2019,-38.37503892,144.824273,3.933624268,6.432,1,,3:56:00,1,3:59:00,0:03:00,RES18-00373,1,Summer,NEG,IS2404_NEG
Tue Jan 22 03:59:00 UTC 2019,-38.37369063,144.7998391,11.39999962,6,5,,3:59:00,1,3:59:00,0:00:00,RES18-00501,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:01:21 UTC 2019,-38.37331006,144.7828515,13.4103188,4,3,,4:01:00,1,4:01:00,0:00:00,RES18-00611,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:02:13 UTC 2019,-38.37689888,144.824911,19.6305542,5.36,1,,4:01:00,1,4:02:00,0:01:00,RES18-00374,2,Summer,NEG,IS2404_NEG
Tue Jan 22 04:02:47 UTC 2019,-38.37380928,144.7971906,13.80000019,5,5,,4:03:00,1,4:03:00,0:00:00,RES18-00502,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:05:58 UTC 2019,-38.37277751,144.7845843,30.73669056,8,3,,4:06:00,1,4:06:00,0:00:00,RES18-00612,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:05:40 UTC 2019,-38.3782131,144.8232244,3.63192749,7.504,1,,4:04:00,1,4:05:00,0:01:00,RES18-00375,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:10:51 UTC 2019,-38.37496203,144.7841355,10.79287081,6,3,,4:11:00,1,4:11:00,0:00:00,RES18-00521,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:09:51 UTC 2019,-38.37527381,144.7987263,11.5,8,5,,4:10:00,1,4:10:00,0:00:00,RES18-00503,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:15:07 UTC 2019,-38.37701189,144.7844233,12.24643731,8,3,,4:15:00,1,4:15:00,0:00:00,RES18-00522,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:16:11 UTC 2019,-38.37336295,144.8333121,-2.562835693,5.36,1,,4:15:00,1,4:16:00,0:01:00,RES18-00376,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:18:38 UTC 2019,-38.3763867,144.7821385,21.59713841,8,3,,4:18:00,1,4:18:00,0:00:00,RES18-00523,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:17:11 UTC 2019,-38.38068504,144.8008645,22.89999962,8,5,,4:17:00,1,4:17:00,0:00:00,RES18-00504,1,Summer,NEG,IS2404_NEG
Tue Jan 22 04:19:18 UTC 2019,-38.375556,144.832716,14.59289551,4.288,1,,4:18:00,1,4:19:00,0:01:00,RES18-00377,1,Summer,NEG,IS2404_NEG
